index,Website,타이틀,설명,Cnt,기타,환경정책,지구환경,환경보건,자원순환,기후변화,자연환경,환경영향평가,대기환경,물환경,KR_Keywords,EN_Keywords,CID
10105,http://www.freitag.ch/about/production/rawmaterials,,,1,0,0,0,0,1,0,0,0,0,0,",nan",",nan",",706892"
10101,http://www.freitag.ch/about/production/materials,,,1,0,0,0,0,1,0,0,0,0,0,",nan",",nan",",706892"
10100,http://seagrant.mit.edu/conferences/CCS2014,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",706871"
10106,http://re-code.co.kr,,,1,0,0,0,0,1,0,0,0,0,0,",nan",",nan",",706892"
10801,http://sine.ni.com/cs/app/doc/p/id/cs-12868,,,1,0,0,0,0,0,0,0,1,0,0,",풍력발전, 풍력소음, 환경영향평가",",Wind Power Plant, Wind Turbine Noise, Environmental Impact Assessment",",707711"
10086,http://wiki.umd.edu/gcam/index.php/Agriculture,,,1,0,0,0,0,0,0,0,0,0,1,",nan",",nan",",706867"
10776,http://www.worldvaluessurvey.org,,,1,0,0,0,0,0,1,0,0,0,0,",도시 회복력, 도시 기후 회복력, 기후 회복력 지수, 기후변화 적응, 회복력 평가 프레임워크",",Urban Resilience, Urban Climate Resilience, Climate Resilience Indicators, Climate Change Adaptation, Resilience Assessment Framework",",707708"
10752,http://www.ga.gov.au/scientific-topics/earth-obs/landcover,,,1,0,0,0,0,0,0,1,0,0,0,",북한, 환경정보, 중분류 토지피복지도, 아리랑 3호, 협력체계",",North Korea, Environmental Information, Land Cover Map, Methods for Classification Structure, Forming a Consultative Group",",707705"
10751,http://www.mrlc.gov/nlcd2011.php,,,1,0,0,0,0,0,0,1,0,0,0,",북한, 환경정보, 중분류 토지피복지도, 아리랑 3호, 협력체계",",North Korea, Environmental Information, Land Cover Map, Methods for Classification Structure, Forming a Consultative Group",",707705"
10107,http://www.motoart.com/products,,,1,0,0,0,0,1,0,0,0,0,0,",nan",",nan",",706892"
10750,http://phenology.cr.usgs.gov,,,1,0,0,0,0,0,0,1,0,0,0,",북한, 환경정보, 중분류 토지피복지도, 아리랑 3호, 협력체계",",North Korea, Environmental Information, Land Cover Map, Methods for Classification Structure, Forming a Consultative Group",",707705"
10788,http://safecity.seoul.go.kr:8070/scmyn_cf/map/cfMap.,,,1,0,0,0,0,0,1,0,0,0,0,",기후변화, 하수관로, 내수침수, 침수피해 리스크, 침수피해 대응체계",",Climate Change, Sewers, Sewer Flooding, Sewer Flood Risk, Sewer Flood Response System",",707709"
10386,http://www.mfe.govt.nz/environmental-reporting/fresh-water,,,1,0,0,0,0,0,0,0,0,0,1,",nan",",nan",",707445"
10079,http://www.ecosk.org,,,1,0,0,0,0,0,0,0,1,0,0,",생물다양성, 영향평가, 전략환경평가, 환경영향평가, 보전",",Biodiversity, Impact assessment, Strategic environmental assessment, Environmental impact assessment, Conservation",",706461"
9965,http://www.q-net.or.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
10892,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_1182&vw_cd=MT_,,,1,0,0,0,0,0,1,0,0,0,0,",토지이용통합모델, 토지이용·피복 변화, 현 상태 유지 시나리오, 정확도 검증",",Integrated land-use model, Land-use and land-cover change, Business-as-usual scenario, Accuracy assessment",",707870"
9961,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201402251640321&code=950100,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9962,http://www.safekorea.go.kr/.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
9963,http://www.etnews.com/20141027000149.,,,1,0,0,0,0,0,1,0,0,0,0,",nan",",nan",",705667"
