C_ID,CLASS_ID,CLASS_NAME,RECORD_STATE,CREATE_DATE,MODIFY_DATE,DC_IDENTIFIER,DC_TYPE,KEI_TITLEKOREA,KEI_TITLEENGLISH,KEI_ALTERNATIVETITLEKOREA,KEI_ALTERNATIVETITLEENGLISH,KEI_SERIESMAINTITLE,KEI_SERIESNUMBER,KEI_AUTHORKOREA,KEI_AUTHORENGLISH,KEI_COAUTHORKOREA,KEI_COAUTHORENGLISH,KEI_COPERATEMANAGERKOREA,KEI_COPERATEMANAGERENGLISH,KEI_COPERATEAGENT,KEI_PUBLISHER,KEI_PUBYEAR,KEI_AGENTNAME,KEI_RESEARCHAREA,DC_LANGUAGE,KEI_OPENMETA,KEI_OPENIMAGE,KEI_TOTALPAGECOUNT,KEI_KEYWORDKOREA,KEI_KEYWORDENGLISH,SERVICE_URI
651505,4,기본연구,u,19980718,20170703,A 환1185 1997 RE-31,기본연구,종합환경정보망 개발사업(Ⅴ),Study on the Development of a Korean Environmental Information  Network System (Ⅴ),,,연구보고서,97-31,정은화,"Chung, Eun-hwa",,,,,,한국환경정책·평가연구원,19971230,,정책일반,한국어,,,"iii, 111p.",,Environmental information,http://library.kei.re.kr/dmme/img/001/003/001/[97_RE31]종합환경정망(정은화).pdf
651506,4,기본연구,u,19980718,20170703,A 환1185 1997 RE-32,기본연구,환경예산과 정책목표,Environmental Budget and Policy Direction,,,연구보고서,97-32,노상환,"Lho, Sang-Hwan",,,,,,한국환경정책·평가연구원,19971230,,정책일반,한국어,,,"xi, 505p.",,Public finances- Environmental aspects,http://library.kei.re.kr/dmme/img/001/003/001/[97_RE32]환경예산(노상환).pdf
651507,6,수시연구,u,19980720,20170703,A 환1185 1998 WO-01,수시연구,물관리체계의 구조조정 방안,Structural Change of Water Management Systems,,,정책보고서,Jan-98,최지용,"Choi, Ji-Yong",박성제,,,,,한국환경정책·평가연구원,19980101,,물환경,한국어,,,65p.,,Water quality management,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-01물관리(최지용).pdf
651509,4,기본연구,u,19980720,20120113,A 환1185 1997 RE-16,기본연구,지역특성별 수처리설비의 최적시스템 도출,Optimum Wastewater Treatment System for Small Communities,,,연구보고서,97-16,최지용,"Choi, Ji-Yong",김응호,"Kim, Eung-Ho",,,,한국환경정책·평가연구원,19971230,,물환경,한국어,,,"vii, 156p.",,Wastewater treatment,http://library.kei.re.kr/dmme/img/001/003/001/[97_RE16]지역특성별(최지용).pdf
652006,6,수시연구,u,19980930,20120116,A 환1185 1997 WO-01,수시연구,VOCs 방지기술 현황 및 적용사례,Status of VOCs Protection Technology and its Applications,,,정책보고서,Jan-97,한화진,"Han, Wha-Jin","이영수,윤정임","Lee, Young-Su, Yoon, Jeong-Yim",,,,한국환경정책·평가연구원,19970101,,대기환경,한국어,,,115p. ;,,Volatile organic compounds,http://library.kei.re.kr/dmme/img/001/003/001/[97_정책]Wo-01Voc방지기술(한화진).pdf
652007,6,수시연구,u,19980930,20120116,A 환1185 1998 WO-02,수시연구,환경정책의 발전방향과 추진전략,Environmental Policy Improvements and Strategies,,,정책보고서,Feb-98,김종기,"Kim, Jong-Gie",,,,,,한국환경정책·평가연구원,19980101,,정책일반,한국어,,,"vi, 132p. ;",,Land use,http://library.kei.re.kr/dmme/img/001/003/001/[98_정책]WO-02환경정책의발번방향(김종기).pdf
652008,6,수시연구,n,19980930,20111114,A 환1185 1998 WO-02-1,수시연구,환경정책의 발전방향과 추진전략(자료집).,,,,정책보고서,Feb-98,,,김종기,,,,,한국환경정책·평가연구원,1998,,환경정책,,,,"xv, 499p. ;",,Land use,http://library.kei.re.kr/dmme/img/001/011/005/98_WO02_환경정책의발전방향_자료집.pdf
652009,22,수탁보고서(원외),u,19980930,20170704,A 환1185 1997-6,수탁보고서,"폐기물 관리체계의 경제성,환경성 평가 및 개선방안",,,,,,이희선,Lee Hee-Seon,"김광임,노상환,최주섭,민달기",,,,,한국환경정책·평가연구원,19971129,,폐기물관리,한국어,,,153p.,,Waste management,http://library.kei.re.kr/dmme/img/001/003/001/[97_수탁]폐기물관리체계의경제성(이희선).pdf
652222,12,기타보고서,u,19981021,20170704,A 환1185 1997-7,기타보고서,접경지역의 보전관리를 위한 기본정책 방안에 대한연구,,,,,,박태윤,"Park, Tae-Yoon","남영숙,강은아,서창완,임영경",,,,,한국환경정책·평가연구원,19971201,,자연환경,한국어,,,"iv, 107p.",,Nature conservation,http://library.kei.re.kr/dmme/img/001/003/001/[97_수탁]접경지역(박태윤).pdf
652817,4,기본연구,u,19990324,20120113,A 환1185 1998 RE-01,기본연구,환경기초시설 서비스산업의 적정 운영체계에 관한 연구,Efficient Governance Structure for Environmental Infrastructure Industry,,,연구보고서,Jan-98,문현주,"Moon, Hyun-joo",,,,,,한국환경정책·평가연구원,19981230,,정책일반,한국어,,,"vii, 167p.",,Service industry,http://library.kei.re.kr/dmme/img/001/003/001/[98_RE01]환경기초시설(문현주).pdf
